,,Total Income,Total Expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,"35,599.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,"43,303.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,"47,315.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,"51,263.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,"28,839.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,"28,038.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,lgu,year,lgutype,elecyr,lgusincome,totlocsrc,ira,tottax,totexsrc,govexp,pubwelf,educexp,healthexp,laborexp,housingexp,socservexp,econdevexp,totexp,,,,,,,,,,,,,,,,
NCR,MALABON CITY,2021,City,2019,2355.78665,1298.62514,1001.165586,959.8839793,1057.16151,658.7957137,725.5380848,171.1445456,193.0358544,39.00377058,118.7887193,203.565195,187.8946395,1572.228438,,MALABON CITY,1254.476844,937.354641,1537.252621,838.7525511,1703.866347,985.3135734,1790.3546,1080.501436,2041.740558,996.7757746,2355.78665,1572.228438,2492.564657,1360.747045
NCR,MANDALUYONG CITY,2021,City,2019,5382.013442,4342.646602,1034.998221,4028.591831,1039.36684,1365.8063,2398.092138,621.699428,1056.833034,5.134611,386.268249,328.156816,349.224762,4113.1232,,MANDALUYONG CITY,0,0,4678.560873,3210.783479,4936.259035,3796.99198,5355.766731,4260.801207,5768.772233,4158.973554,5382.013442,4113.1232,6284.237934,5115.385756
NCR,MANILA CITY,2021,City,2019,15393.79948,11601.37327,3763.196569,10345.33958,3792.426215,3322.208888,10991.85051,1783.04478,4058.030248,0,1280.083218,3870.692268,1346.69203,15660.75143,,MANILA CITY,11975.24448,7506.907596,13281.2362,7095.764382,13847.03142,7417.617433,15597.293,7867.3344,15038.41211,12299.59945,15393.79948,15660.75143,16525.21147,13696.67946
NCR,MARIKINA CITY,2021,City,2019,3588.116725,1485.403038,1172.902238,1006.289282,2102.713687,1336.826749,1211.663305,189.8896259,614.2438814,2.81696788,342.7277022,61.98512765,282.6893835,2831.179437,,MARIKINA CITY,2366.331933,1599.596937,2425.249787,1885.983445,2525.334896,1771.289139,2669.735994,2027.632305,3228.054493,4323.338119,3588.116725,2831.179437,3009.546787,3004.22325
NCR,MUNTINLUPA CITY,2021,City,2019,5496.429662,3860.006009,1296.108583,2905.278643,1636.423653,1769.81814,1171.075876,205.8708613,260.074505,15.8434322,57.70699542,631.580082,1322.472279,4263.366295,,MUNTINLUPA CITY,4315.507771,2964.354537,4759.670244,3064.407836,5103.669058,3474.330544,5619.306201,4182.768383,5860.127166,4404.73764,5496.429662,4263.366295,6224.596432,4739.55374
NCR,NAVOTAS CITY,2021,City,2019,2229.755843,913.9734717,768.429969,607.4483426,1315.782371,446.9632532,297.1649279,79.61352394,88.19264513,0,0,129.3587588,291.9923229,1036.120504,,NAVOTAS CITY,1097.724581,515.2980963,1197.930846,707.7309167,1516.462804,662.6830885,1684.479854,776.5700549,1878.606861,950.3096134,2229.755843,1036.120504,2378.661906,1103.617776
NCR,PARAÑAQUE CITY,2021,City,2019,7964.198393,6347.253588,1616.944805,5597.258541,1616.944805,2565.478631,2893.082717,288.6854373,1065.250835,0.28150402,755.1728911,783.6920495,363.162929,5821.724277,,PARAÑAQUE CITY,4137.782345,2824.048995,5342.511197,2622.26228,6366.575961,3029.099136,7014.104928,3442.037625,8022.90649,4653.475432,7964.198393,5821.724277,8881.438374,4599.094907
NCR,PASAY CITY,2021,City,2019,7082.11585,5434.177941,1098.621999,4996.792961,1647.937909,1430.118979,3557.613691,634.9851962,1099.058531,8.25677255,40.3995548,1774.913636,233.3910209,5221.123691,,PASAY CITY,4175.372312,3178.388792,4837.918212,3829.639093,5906.607122,3674.041144,6751.254137,4497.156234,6853.571504,4973.880494,7082.11585,5221.123691,7705.345658,5280.091727
NCR,PASIG CITY,2021,City,2019,11001.85821,8906.488806,1792.978296,7440.16585,2095.3694,2334.377589,1826.444617,798.6478089,630.2725027,60.10297276,0,337.421333,3551.260184,7712.082389,,PASIG CITY,9003.319553,3651.933294,10148.90481,3925.662422,12022.09945,5081.462448,12508.27174,5550.23197,12190.4993,8453.753665,11001.85821,7712.082389,14231.43432,8726.819778
NCR,QUEZON CITY,2021,City,2019,30061.01061,23346.94874,6162.066761,21767.07109,6714.061871,14562.04171,8534.18719,2117.965191,2927.221003,138.8900612,2433.004284,917.106652,757.7593579,23853.98825,,QUEZON CITY,18526.608,9782.84932,19979.75451,10459.95981,21743.5733,12522.78654,25100.62382,13777.89344,28819.39539,22744.27074,30061.01061,23853.98825,30685.71651,21068.48662
